M 	是 王若 猫 的 
M 	民谣歌手 好 喜欢 
M 	凉凉 万福金安 
M 	华妃 娘娘 万福金安 
M 	我 在 想 你 
M 	不是 真的 难道 是 煮 的 吗 
M 	没有 过去 
M 	好好 我 先来 江山 如此 之大 
M 	我 知道 你 知道 
M 	难道 是 命运 
M 	很爱过 谁 会 舍得 
M 	遥远 了 清晰 的 爱 
M 	把 你 留在 昨天 做 纪念 
M 	画 裸女 么 
M 	那 你们 干嘛 
M 	画 裸女 么 
M 	山炮 
M 	好 吧 我 掌嘴 
M 	那 是 什么 
M 	山炮 
M 	Yes 
M 	不要 怕 露出 胸膛 
M 	说好 的 菊花 呢 
M 	我 想 不一定 是 爱 可能 是 
M 	嗯嗯 
M 	还 他妈的 可以 
M 	山美水 美人 也 美 赤峰 雄起 
M 	贱 你 滷味 
M 	3 
M 	耶耶 耶 
M 	会 有人 送给 你 一个 
M 	我爱你 你 你 你 你 
M 	国家一级 演员 李玉刚 的 老家 
M 	大城市 
M 	我 以后 会 听话 
M 	呸 你 个 小贱人 
M 	嗯 阿 
M 	我 也 不会 再 爱 了 
M 	哼哼 哼哼 
M 	美丽 的 樱花 国 
M 	中国 的 
M 	表达 对 晏 晏 的 感情 
M 	主人 比小通 更 笨 
M 	小野 妹子 的 圣德 太子 
M 	你 说 哪个 痴呆 
M 	你 说 哪个 痴呆 
M 	我 说什么 阿 
M 	你 说 哪个 痴呆 
M 	but 
M 	我 是 色龙 
M 	那 你 直接 去 问 她 啊 笨蛋 
M 	嗨 大姐大 好 
M 	老娘 得 了 个 男宠 
M 	嘴唇 好像 蹦蹦床 
M 	耶耶 
M 	山 毛毛 
M 	忧郁 的 小 眼神儿 
M 	妻奴 
M 	看 俺 收 了 他 个 不知死活 的 
M 	mua 
M 	可爱 乖宝宝 
M 	灯闪 三下 代表 我爱你 
M 	再 加点 土豆 吧 
M 	越 走 越 遥远 
M 	好 吧 好 吧 我 最 好吃 最 美味 了 你 可以 做 火锅鸡 
M 	聪明人 发明 的 奶 食品 
M 	柳州 美女 多 帅锅 也 多 
M 	不用 戴 防毒面具 的 地方 
M 	我 的 家乡 
M 	鸡窝 
M 	那些 年 错过 的 大雨 
M 	不要 这样 了 他 不会 想 你 的 对 自己 好 一点 你 还有 我 把 他 忘了 
M 	敢 不好 切 他 小 jj 
M 	马璟 轩喃 
M 	谁 猥琐 大家 都 知道 捏个 猥琐 的 小 胖子 我 不 跟 他 计较 
M 	少 吃 多 运动 
M 	为什么 不 复习 浪费时间 是 不 对 的 
M 	因为 男生 只能 和 男生 在 一起 啊 
M 	不是 还 没 死 呢 
M 	不要 啊 我要 和 你 聊天 无聊 死 了 
M 	这 世上 有 两种 东西 一个 是 勤奋 一个 是 作弊 
M 	好德 好德 .. 我会 一直 守 在 你 身边 的 ¯ ︶ ¯ 
M 	晚安 爱 你 明天 见 
M 	没错 大家 都 很 期待 
M 	嗯嗯 好好 休息 吧 
M 	可以 打 飞机 哦 亲 
M 	对 你好 就 得 了 呗 
M 	我 的 感觉 不会错 
M 	老公 同事 老婆 都 过 三十 了 教师 一枚 两人 成亲 九年 之 久 一直 分居 两地 木有 小孩 结果 她 领导 看不下去 了 说 你 去 你 老公 那儿 怀孕 去 没 怀上 不要 回来 好 有 爱 的 领导 啊 
M 	不知 怎么 吃 坏 了 肚子 一直 吐 饿 的 半死 想 吐吐 不 出来 巨 难受 
M 	今天 在 女友 宿舍 正巧 碰到 宿管 大妈 了 我 很 有 礼貌 的 说 了 句 6 个 女 的 我 1 个 男 的 不会 有事 
M 	下楼 时 从 按 电梯 楼层 就 能 分辨 出 高富帅 和 屌丝 屌丝 按 一层 高富帅 都 是 地下 
M 	你 烦不烦 
M 	不烦 不烦 我 不烦 我要 陪着 你 
M 	一 实习 小护士 给 我 挂 针 拿着 针 在 我 胳膊 上扎 了 好几 针 也 没 找到 血管 
M 	你 烦不烦 
M 	一 实习 小护士 给 我 挂 针 拿着 针 在 我 胳膊 上扎 了 好几 针 也 没 找到 血管 
M 	那 就 接着 睡吧 
M 	不 后悔 
M 	你 是 我 心中 最美 的 云彩 让 我 用心 把 你 留下来 
M 	户口 
M 	啦啦 啦 
M 	看电视 老爸 想 换台 但 可能 觉得 直接 换 不好 就 指着 电视 个 女 的 问 我 这个 给 你 当 媳妇 你 要 不 我 说 不要 哦 太丑 哈 给 你 找个 漂亮 的 然后 就 开始 啪啪 换台 了 
M 	次奥 老娘 哪来 那么 多 笑话 给 你 讲 
M 	来 咬 我 啊 
M 	你 无聊 了 绝对 的 
M 	怎么会 
M 	怎么啦 主人 
M 	那 你 想 干 蛤 
M 	你 可以 和 我 聊天 噢 你 会 很 开心 的 
M 	主人 她 太沉 了 我 抱 不动 ０ 
M 	那 你 别 凑热闹 了 呗 就 玩 嘛 
M 	希望 跟你走 下去 
M 	让 你 乐悠悠 
M 	那 是 我 的 究级 进化 体 
M 	比 我 火 
M 	没事 吖 我 不介意 就 好 了 
M 	谢谢 ω 我爱你 
M 	你 在 哪 
M 	淫淫 
M 	有 啊 可是 人家 连 吸引 僵尸 粉 的 魅力 都 木有 T T 求 安慰 
M 	跟 腾讯 微博 不是 一对 
M 	其实 你 懂 了 吧 〜 
M 	关注 似乎 不在乎 
M 	是 女王 陛下 
M 	反轉 豬腩 也 不是 王子 
M 	是 阿姆斯特朗 回旋加速 喷射器 阿姆斯特朗 炮 我 说 的 对 叽 
M 	反轉 豬腩 也 不是 王子 
M 	你 很强 你 有的 
M 	
M 	江户 川 柯南 是 个 侦探 
M 	大肥科 
M 	
M 	晋江 
M 	我 说 了 不 就 听过 了 
M 	分手 了 
M 	我 无处不在 
M 	扶着 你 
M 	就 不 告诉 你 
M 	郑思漪 
M 	反轉 豬腩 也 不是 王子 
M 	都 好 啊 
M 	求 你 不要 剥夺 我 的 鸡权 
M 	嗯嗯 
M 	你 很强 你 有的 
M 	这 不是 全国 名校 嘛 
M 	你 怎么 知道 我们 正月十五 就 开学 
M 	你 说 那 只 井蛙 呀 
M 	额额 你 不懂 了 吧 鸡鸡 我 在 装傻 
M 	反轉 豬腩 也 不是 王子 
M 	真可怜 那 你 就 和 我 玩吧 
M 	哎呀 算了吧 
M 	不 确定 因素 
M 	哎呦 
M 	你 怎么 知道 我们 正月十五 就 开学 
M 	还有 几年 
M 	我 是 小通 胖瘦 自如 
M 	你 猜 
M 	勇敢 地 扑上去 就 好 
M 	是 黄兴 海 
M 	哦 我 好笨 啊 我 是 笨蛋 
M 	别 上火 了 
M 	你 考试 也 要 同样 给力 复习 过程 中 不会 的 问题 记得 我 哈哈 加油 
M 	没 你 屯 
M 	矜持 金 淡定 天后 
M 	是 属于 板板 的 
M 	情在 烧 
M 	没事 明年 再 来 
M 	该 咋个 办 咋办 随便 
M 	毛毛 
M 	在 抠 脚 
M 	喵喵 恭迎 主淫 
M 	全世界 最好 的 人 
M 	恩 
M 	唐老鸭 
M 	刘 丹妮 
M 	真情 诺诺 
M 	我 是 
M 	额是 吗 
M 	Bin 酱 ＾ ∇ ＾ 
M 	周文丽 
M 	那 就 让 他 亲 你 一下 好 了 
M 	笨蛋 
M 	我 就是 笨蛋 哈哈哈 
M 	我 才 不是 周 建邦 才 是 
M 	我 爱 的 永远 只有 你 对不起 
E 	昨晚 有没有 看 本山 带 谁 上 春晚 
E 	你 就是 大忽悠 
E 	呸 
E 	我要 对 你 多 好 
E 	我 还 没起 呢 
E 	不想 学习 
E 	拜托 
E 	昨天 做梦 梦见 我 回 小学 重新 开始 念 了 
E 	梦见 你 就是 噩梦 
E 	没事 
E 	呸 呸 呸 
E 	山炮 
E 	你 跟 多少 人 聊天 
E 	我 猜 不到 
E 	反正 没想 你 
E 	爱 的 
E 	dear 小通 
E 	你 炖 了 
E 	你 现在 在 哪里 
E 	你 在 哪里 
E 	呸 
E 	我要 把 你 炖 了 
E 	你 的 毛拔 光 
E 	只许 你 陪 我 一个 人 聊天 
E 	好 无聊 
E 	不理 你 了 
E 	不理 你 了 
E 	我 去 睡觉 了 
E 	晚 什么 安 
E 	那好吧 
E 	揍 你 
E 	哼 
E 	拜拜 
E 	得瑟 
E 	想 揍 你 
E 	就是 想 揍 你 
E 	就 不 支持 
E 	山炮 
E 	我 骂 你 呢 
E 	就 你 最 傻 
E 	不理 你 了 
E 	就 不理 你 
E 	不理 你 
E 	早安 
E 	才 九点 多 
E 	臭鸡 
E 	主人 我 想 炖 了 你 
E 	好 无聊 
E 	怎么办 要 不要 去 吃翔 
E 	去 哪里找 
E 	我 是 吃 稀翔 还是 浓翔 
E 	翔 吃 多 了 怎么办 吐出来 再 吃 
E 	大 丧尸 
E 	一介 p 夫 
E 	妙 可 
E 	大 狸子 
E 	有条 狗 该不该 日 
E 	怎么 个 厉害 法 
E 	李毅 踢足球 
E 	怎样 找鸡 
E 	你 是 处 吗 
E 	等 你 来 
E 	是 粉 的 
E 	你 真 丧尸 
E 	今天 造 了 个 大 新闻 
E 	日 了 
E 	前面 还是 后面 
E 	我 喜欢 里面 
E 	玉龙雪山 是 什么 
E 	我 今天 运势 如何 
E 	啪啪 啪 
E 	雅 蠛 蝶 
E 	依库 
E 	你 行不行 
E 	还 不 速度 
E 	五发 
E 	吃 鸡肉 
E 	吃 
E 	贝爷 
E 	呵呵 
E 	是 什么 意思 
E 	是 个 好人 
E 	没 事发 干嘛 次奥 
E 	菊花 好痒 
E 	悲剧 
E 	有 什么 好 听的歌 
E 	你 就 知道 呜呜 呜呜 
E 	即墨 
E 	巫妖王 
E 	hehe 
E 	怪蜀黍 
E 	变态 
E 	你 是 妹纸 麽 
E 	死 基佬 
E 	你 不是 大 基佬 
E 	pas 是 什么 
E 	次奥 
E 	今天 晚上 太阳 好大 
E 	可是 伦家 不 爱 你 
E 	x 
E 	s 
E 	oh 
E 	这个 有 关系 麽 
E 	这么 贵 
E 	你 猜 
E 	你 再 猜 
E 	你 还 猜 
E 	你 又 猜 
E 	搞基 不 
E 	反过来 
E 	喜当爹 
E 	像 你 咋办 
E 	肾切 了 
E 	吃 鸡肉 
E 	鸡肉 味 噶蹦脆 
E 	有条 狗 
E 	听说 你们 发生 了 不伦 之恋 
E 	那 可是 条狗 
E 	喜当 
E 	法海 你 不懂 爱 
E 	看 有辉基 
E 	讲个 笑话 
E 	鸡肉 好 好吃 
E 	你 的 肉 
E 	这么 小 
E 	你 几时 是 
E 	就 知道 呜呜 呜 
E 	知道 个球 
E 	屁是 什么 
E 	泥煤 
E 	呜呜 呜呜 
E 	来 给 大爷 哭 一个 
E 	人之初 性本 
E 	画个 圈圈 诅咒 你 
E 	你 是 男 的 女 的 
E 	啊啊啊 
E 	我要 吃 了 你 
E 	是 啥 
E 	哈哈 
E 	找抽 
E 	滚 
E 	真逗 
E 	我 去 啊 听过 江南style 么 
E 	太原 知道 不 
E 	我 想 去 上海 
E 	肯德基 和 麦当劳 啥 关系 
E 	你 是 屌丝 
E 	2 傻 
E 	骂 你 2 
E 	你 是 
E 	你 有 男朋友 么 
E 	谁 
E 	乔鑫 是 谁 
E 	骂 乔鑫 
E 	你 漂亮 不 
E 	傻笑 什么 
E 	最近 金牛座 运势 如何 
E 	双子座 运势 咋样 
E 	我 喜欢 你 
E 	真的 
E 	为啥 
E 	啥 
E 	哈哈 
E 	吃货 
E 	物理 知道 不 
E 	秦皇岛 
E 	都 哪 好玩 
E 	滚 
E 	谁 是 你 妈 
E 	你 有意思 么 
E 	小通 
E 	给 我 写 作业 
E 	说 你 
E 	小通 
E 	很晚 了 
E 	晚安 
E 	你 是 公鸡 还是 母鸡 
E 	我 擦 有 你 这么 回复 的 
E 	尼玛 我 还 什么 都 没 说 那 
E 	
E 	吃 什么 饭 
E 	⊙ o ⊙ 
E 	尼玛 
E 	你 是 机器人 
E 	尼玛 你 不是 自称 机器人 吗 
E 	那 不 就是 了 你 他 妈 还 不 承认 
E 	谁 是 你 主任 
E 	玺爷 是 谁 
E 	尼玛 
E 	你 无 下限 
E 	我 可是 正人君子 
E 	卧槽 
E 	嗯 所以 想 吃 炸鸡 
E 	嗯嗯 
E 	忍心 
E 	
E 	你 马勒 戈壁 
E 	草泥马 
E 	有 你 老汉 
E 	爸 尼玛 
E 	你 老妈 
E 	说 嘛 
E 	说 嘛 说 嘛 
E 	说 说 
E 	说 说 
E 	说 说 
E 	说 说 
E 	德玛 西亚 
E 	撸 啊 撸 
E 	撸 啊 撸 
E 	我 可 哈大霸 
E 	我 了 个 大 擦 
E 	起床 起得 早 
E 	我 我 又 没 叫 你 起床 
E 	原来 你 是 母鸡 
E 	谁 要 和 一只 鸡 
E 	噗 
E 	呜呜 呜 
E 	人 和 鸡亲 有 问题 
E 	那 你 还要 
E 	你 要是 个 女生 我 还 能 考虑 可惜 你 是 一只 鸡 
E 	鸡 和 鸡仔 有 不同 吗 
E 	话说 你 这么 做 是 为了 嘛 
E 	卧槽 回答 问题 
E 	尼玛 
E 	你 不是 说 你 不会 说 呵呵 了 吗 
E 	有没有 微信 号 
E 	
E 	傻 逼 
E 	南方 谈话 是 多少年 你 知道 吗 
E 	你 骚死 了 
E 	周杰伦 
E 	神州 七号 你 知道 吗 
E 	陈冠希 
E 	我 恨 你 
E 	东尼 大木 
E 	苍井空 
E 	周杰伦 
E 	罗玉凤 
E 	重庆 
E 	杭州 
E 	宁波 
E 	万州 
E 	狼狗 
E 	缺钱 
E 	薄熙来 
E 	余杭 
E 	临平 
E 	小 香港 
E 	上海 
E 	北京 
E 	草泥马 的 汉子 威武雄壮 
E 	这么 早要 起床 
E 	圆周率 是 多少 
E 	静夜 诗是 谁 写 的 
E 	青花瓷 是 谁 唱 的 
E 	傻 逼 是 周杰伦 
E 	搬家 真累 
E 	雅顿 
E 	雅漾 
E 	去 死 
E 	贱人 就是 矫情 
E 	日本 
E 	韩国 
E 	朝鲜 
E 	呵呵 
E 	老母鸡 
E 	日本 
E 	上海 
E 	绝代 商娇 
E 	周杰伦 
E 	害羞 
E 	呵呵 
E 	春晓 的 作者 是 谁 
E 	嘿嘿 
E 	搞笑 
E 	中国 
E 	草泥马 
E 	牛仔 很 忙 
E 	印度 
E 	英国 
E 	德国 
E 	法国 
E 	澳大利亚 
E 	马尔代夫 
E 	希腊 
E 	罗马 
E 	加拿大 
E 	老挝 
E 	泰国 和 中国 接壤 吗 
E 	aa 
E 	擦 
E 	贱货 
E 	哼 
E 	今天 雾 超级 大 
E 	好累 
E 	泰国 
E 	台湾 
E 	香港 
E 	扯淡 
E 	好 爱 你 
E 	你 在 干嘛 
E 	再装 逼 把 你 杀 了 
E 	我 不吃 你 单纯 的 杀 了 你 而已 
E 	你 是 哪个 
E 	茉莉 姐姐 是 谁 
E 	骗人 
E 	可 拉倒 
E 	那 你 亲亲 我 
E 	没 了 
E 	你 妹夫 
E 	未婚先孕 
E 	咋整 
E 	没有 
E 	傻 逼 鸡 
E 	别学 我 
E 	跪下 
E 	你 是不是 傻 
E 	你 电话 多少 
E 	你 说 苹果 裸机 合适 还是 合约机 合适 
E 	傻 逼 
E 	胖子 怎么 减肥 
E 	你 饿 吗 
E 	小黄 黄 偶想 你 
E 	回复 这么 快 求解 
E 	小黄 黄 偶想 你 
E 	求解 
E 	鄙视 你 
E 	鄙视 你 
E 	不是 说 不 回 呵呵 的 嘛 我 不了 你 
E 	你 是 个 很大 嗯 工作 团队 吗 
E 	那 你 做 这些 到底 是 为了 啥 啊 这么 大 的 团队 不要 养活 吗 
E 	exo 啥意思 
E 	喔 那 你 还是 没 回答 我 问题 
E 	你 是 啥 酱 
E 	那 你 那 一群 人 
E 	农村 不 种田 
E 	尼玛 
E 	呵呵 
E 	什么 意思 
E 	你 说 
E 	快乐 的 小通 你 要 碎 觉觉 了 哟 
E 	我 想 睡觉 了 怎么办 
E 	爸爸 说 现在 太早 了 等 我 睡 到 半夜 又 睡不着 嘞 
E 	你 妈妈 是 谁 
E 	那 你 有 爸爸 吗 
E 	你 喜欢 吃 小 通炖 蘑菇 吗 
E 	奇哥 是 谁 
E 	宇宙 之王 不是 宙斯 吗 
E 	不 认识 
E 	那 你 说 说 我 是 谁 
E 	你 答非所问 
E 	明天 我 就 吃 小 通炖 蘑菇 
E 	好 贱 
E 	这 又 是 谁 
E 	好 基友 
E 	你 跟 小黄 鸭 什么 关系 
E 	那 你们 将来 的 宝宝 叫 什么 
E 	这么晚 了 你 干嘛 不 睡觉 
E 	你好 可爱 〜 
E 	个 
E 	我家 亲爱的 比 我 小 〜 
E 	才 没有 
E 	你 拖 回家 吃掉 〜 
E 	吃掉 你 
E 	要 不要 主动 联系 他 
E 	那 他 喜欢 我 不 
E 	那 就是 他 不 喜欢 我 咯 
E 	你好 萌 
E 	我 没有 呀 
E 	真 讨厌 
E 	不 喜欢 你 了 
E 	走开 
E 	走 你 
E 	鸡 
E 	坏鸡 
E 	嗯嗯 
E 	你 怎么 这样 回答 我 
E 	你 每天 工作 累 吗 
E 	你 真 逗 
E 	不懂 你 意思 
E 	黄黄 你 怎么 不 理解 我 
E 	你 口不择言 
E 	搞笑 
E 	你 怎么 这样 
E 	你 不 理解 我 
E 	不 喜欢 你 
E 	嗯嗯 说 
E 	你 慢慢说 说 
E 	你 说 
E 	你 是 母鸡 还是 公鸡 
E 	好 
E 	不 打扰 您 了 讨厌 的 鸡 
E 	拜拜 
E 	切 
E 	嗯嗯 
E 	发火 
E 	给姐 唱首歌 
E 	好样 的 
E 	唱 我 只在乎 你 
E 	你 有 恋人 吗 
E 	你 猜 
E 	无语 
E 	你 无聊 
E 	你 主人 是 谁 
E 	瑶瑶 是 谁 
E 	烦死 你 了 
E 	滚 
E 	鸡 
E 	想 你 楼 
E 	恩恩 
E 	不是 不 呵呵 么 
E 	和 期末考试 什么 关系 
E 	凑 
E 	额 
E 	饿 了 
E 	炖 蘑菇 
E 	嗯 
E 	睡觉 了 
E 	推荐 一款 不错 的 电脑 呗 
E 	小通 
E 	饿死 了 咋办 
E 	没 人 做饭 
E 	我 在 等 个 重要 的 电话 
E 	什么 是 女神 
E 	呵呵 
E 	雪 为什么 这么 小 
E 	这是 几个 意思 
E 	你 答非所问 
E 	你 说句话 
E 	我 不 喜欢 鸡 
E 	我 不 喜欢 女人 
E 	我 想 吃糖 
E 	你 很 听话 么 
E 	你 那 是 啄 不是 
E 	运势 如何 
E 	黄色 的 小通 好吃 么 
E 	原来 你 可以 吃 
E 	你 
E 	晚安 
E 	你 羞 啥 
E 	你 会 感冒 么 
E 	你 会 不会 聊天 
E 	你 是 男生 还是 女生 
E 	你 国籍 是 中国 么 
E 	你 有 对象 没 
E 	给 爷乐 一个 呗 
E 	乖 
E 	呵呵 
E 	我 好难过 哭 的 都 好累 
E 	那 他 习惯 了 一天 又 一天 的 不 给 我 她 的 消息 好难过 
E 	找 不见 他 
E 	和 他 在 一起 马上 两年 了 是不是 我 追 的 太近 了 
E 	可是 越来越 累 我 是不是 好 矛盾 
E 	恩 是 哟 他 不会 想 我 
E 	抱抱 我 想 他 抱抱 我 了 他 说 回家 了 抱抱 熊熊 
E 	分开 会 不会 好点 
E 	我怕 
E 	抱抱 借个 肩膀 靠靠 
E 	我会 好 的 一定会 好 的 
E 	他 一定 不爱 我 了 
E 	笑一笑 十年 少 
E 	他 一定 不爱 我 了 
E 	一 躺下 就 哭 了 
E 	哭 的 好累 
E 	抱抱 
E 	我 自己 都 变得 那么 不 重要 
E 	分手 多 简单 就是 说不出口 
E 	他 不 爱 我 了 一定 是 这样 
E 	我 也 在 等待 那个 人 
E 	你 也 不会 爱 我 的 
E 	从来 都 不会 有人 爱 我 
E 	我 以为 会 是 他 
E 	原来 都 只是 我 以为 
E 	要是 我 消失 了 他 说 他 不会 找 我 
E 	不会 有人 找 我 的 
E 	我 不会 告诉 别人 我 哭 了 你 要 为 我 保密 
E 	还 不是 你 那么 有人 气 
E 	他 不在 这个 圈 
E 	手肿 了 好烦 
E 	周末 了 特别 开心 
E 	你 是 怎么 诞生 滴 
E 	可是 我 都 好久没 交 话费 了 
E 	你 是 剪来 的 
E 	which 
E 	honey 
E 	宝贝 
E 	跟 室友 在 逛街 看金 豆子 
E 	你 又 穿 不 上 唉 
E 	王 念心 
E 	还 爱 谁 
E 	and 
E 	you 
E 	i 
E 	挺趣 
E 	你 是 谁 
E 	你 还是 魂淡 
E 	重点 是 没 票子 
E 	我 想 买 金 豆子 可是 没 钱 怎么办 
E 	猜 你 个 鸡头 
E 	我们 晚上 吃 什么 
E 	没吃过 冰峰 是 什么 东西 
E 	杂货 
E 	好 饿 
E 	贬值 了 
E 	杀鸡 说 
E 	木有 
E 	在 肯德基 聊天 
E 	我 吃 不吃 由不得你 
E 	不好 没汤 
E 	吃 你 
E 	
E 	混球 说 谁 
E 	小黄 毛 
E 	你 能 再 逗点 么 
E 	你 可以 帮 我 赚钱 么 
E 	好意思 么 
E 	你 哪里 来 的 钱 搜刮 民脂 么 
E 	小 
E 	我 怎么 你 了 
E 	不想 上班 
E 	会 饿 仕 
E 	今天 
E 	你 用 什么 打字 
E 	想 他 
E 	你 怎么 知道 
E 	他 才 没想 
E 	木有 木有 就 木有 
E 	纳尼 
E 	你 怎么 诞生 的 
E 	鸟语 
E 	问 了 你 二次 前言不搭后语 
E 	我 想 她 
E 	我 也 
E 	你 说 过 的 不 
E 	点尔康 
E 	你 猜 吗 
E 	生病 了 
E 	心病 
E 	猜 
E 	猜 不 开心 了 怎么办 
E 	你 能 解决问题 么 
E 	能换个 新颖 的 回答 么 
E 	没 钱 
E 	只要 你 说出 就 能 董 
E 	我 爱 他 
E 	为何 不能 说 
E 	海燕 说 我 的 头 被 我 抓 痒痒 抓烂 了 
E 	皮炎 
E 	可以 转移 到 身上 去 么 
E 	我 不 理智 
E 	他 支教 去 了 
E 	不是 我 
E 	要 回来 了 可是 不想 走路 
E 	找谁 
E 	谁 
E 	木有 
E 	臭 记性 
E 	大笨蛋 说 谁 
E 	手机 马上 没电 了 
E 	在 外面 
E 	你 多 大 了 
E 	家住 哪 
E 	我要 找到 你 喊出 你 的 名字 
E 	吸血鬼 日记 
E 	谁 最美 
E 	隋唐英雄 传 
E 	放生 
E 	你 不是 真正 的 快乐 
E 	左右 左右 
E 	给 我 几条 
E 	笔记本 
E 	好人 多 还是 坏人 多 
E 	哈哈 
E 	笑 你 傻 
E 	泪奔 
E 	干嘛 
E 	室友 在 看书 
E 	你 觉得 
E 	是 好 拉拉 
E 	人生 的 意义 何在 
咨询 个 问题 	您 想问 啥 我会 尽我所能 的 
我 想问 一个 问题 	您 想问 啥 我会 尽我所能 的 
我 想 问个问题 	您 想问 啥 我会 尽我所能 的 
我 想问 您 一下 	您 想问 啥 我会 尽我所能 的 
我 有 一个 问题 	您 想问 啥 我会 尽我所能 的 
我 想 了解 下 	您 想问 啥 我会 尽我所能 的 
我 想问 下 	您 想问 啥 我会 尽我所能 的 
我 有 疑问 	您 想问 啥 我会 尽我所能 的 
问 下 问题 	您 想问 啥 我会 尽我所能 的 
能 不能 问 一个 问题 	您 想问 啥 我会 尽我所能 的 
问个问题 	您 想问 啥 我会 尽我所能 的 
有 问题 	您 想问 啥 我会 尽我所能 的 
请问 一下 	您 想问 啥 我会 尽我所能 的 
我 有事 咨询 	您 想问 啥 我会 尽我所能 的 
我 有 一事 相求 	您 想问 啥 我会 尽我所能 的 
让 我 问 你 一个 问题 	您 想问 啥 我会 尽我所能 的 
我来 问问 你 	您 想问 啥 我会 尽我所能 的 
亲 在 	在 呀 在 呀 有啥 能 帮 你 的 
亲 在 嘛 	在 呀 在 呀 有啥 能 帮 你 的 
有人 在线 	在 呀 在 呀 有啥 能 帮 你 的 
在 没 在 	在 呀 在 呀 有啥 能 帮 你 的 
有没有 人 	在 呀 在 呀 有啥 能 帮 你 的 
有人 回答 没有 	在 呀 在 呀 有啥 能 帮 你 的 
就 有人 	在 呀 在 呀 有啥 能 帮 你 的 
有人 	在 呀 在 呀 有啥 能 帮 你 的 
没有人 么 	在 呀 在 呀 有啥 能 帮 你 的 
客服 在 	在 呀 在 呀 有啥 能 帮 你 的 
小宝 小宝 	在 呀 在 呀 有啥 能 帮 你 的 
恒 小宝 	在 呀 在 呀 有啥 能 帮 你 的 
你好 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
hello 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
你 号 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
ni hao 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
你好 咯 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
哦 你好 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
好 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
你好 么 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
您好 亲 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
nihao 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
雷猴 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
泥嚎 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
喂 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
您好 呀 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
早上好 呀 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
小宝 你好 	你好 呀 我 可以 帮 你 做 点 啥 嘛 
知道 	希望 能 帮到 你 呀 
哦 知道 	希望 能 帮到 你 呀 
好 知道 	希望 能 帮到 你 呀 
明白 	希望 能 帮到 你 呀 
我 知道 	希望 能 帮到 你 呀 
了解 嘛 	希望 能 帮到 你 呀 
好 明白 	希望 能 帮到 你 呀 
好 那 我 知道 	希望 能 帮到 你 呀 
好 吧 我 知道 	希望 能 帮到 你 呀 
好 知道 	希望 能 帮到 你 呀 
好 知道 	希望 能 帮到 你 呀 
晓得 	希望 能 帮到 你 呀 
知道 了 谢 	希望 能 帮到 你 呀 
我 懂 	希望 能 帮到 你 呀 
这样 呀 	希望 能 帮到 你 呀 
好 	嗯嗯 如果 对 你 有 帮助 我 很 开心 奥 
哦 好 	嗯嗯 如果 对 你 有 帮助 我 很 开心 奥 
好啦 	嗯嗯 如果 对 你 有 帮助 我 很 开心 奥 
好哈 	嗯嗯 如果 对 你 有 帮助 我 很 开心 奥 
好 	嗯嗯 如果 对 你 有 帮助 我 很 开心 奥 
好 呀 	嗯嗯 如果 对 你 有 帮助 我 很 开心 奥 
哦 哦 好 	嗯嗯 如果 对 你 有 帮助 我 很 开心 奥 
好 吧 	嗯嗯 如果 对 你 有 帮助 我 很 开心 奥 
可以 可以 	嗯嗯 如果 对 你 有 帮助 我 很 开心 奥 
我 觉得 还 行 	嗯嗯 如果 对 你 有 帮助 我 很 开心 奥 
OK 	嗯嗯 如果 对 你 有 帮助 我 很 开心 奥 
哦 	嗯嗯 如果 对 你 有 帮助 我 很 开心 奥 
好哇 	嗯嗯 如果 对 你 有 帮助 我 很 开心 奥 
什么 原因 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
什么 原因 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
不 知道 什么 原因 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
这是 什么 原因 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
什麼 原因 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
为什么 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
为什么 呀 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
麻烦 看 下 为什么 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
